FAUX;Giuseppe;a Marca;m;GR;CE;Centre;Membre;Conservateurs;1851-07-02;1849-12-02;
FAUX;Alois;Ab Yberg;m;SZ;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1935-12-01;1928-12-03;
FAUX;Fabio;Abate;m;TI;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2007-12-02;2003-12-01;
FAUX;Fabio;Abate;m;TI;CE;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;2015-11-29;2011-12-05;
VRAI;Fabio;Abate;m;TI;CE;Groupe libéral-radical;Membre;PLR.Les Libéraux-Radicaux;;2015-11-30;
FAUX;Fabio;Abate;m;TI;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2003-11-30;2000-09-25;
FAUX;Fabio;Abate;m;TI;CN;Groupe radical-libéral;Membre;Parti radical-démocratique suisse;2011-12-04;2007-12-03;
FAUX;Johann Jakob;Abegg;m;ZH;CN;Groupe libéral démocrate;Membre;Libéral;1912-02-17;1887-12-06;
FAUX;Alfred;Abegg;m;TG;CN;Groupe socialiste;Membre;Parti socialiste suisse;1971-11-28;1963-12-02;
FAUX;H. Roman;Abt;m;AG;CN;Groupe des Paysans, Artisans et Bourgeois;Président(e);Paysans, Artisans et Bourgeois;1942-03-27;1919-01-01;
FAUX;H. Roman;Abt;m;AG;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1942-03-27;1919-01-01;
FAUX;H. Roman;Abt;m;AG;CN;Groupe des Paysans, Artisans et Bourgeois;Membre;Paysans, Artisans et Bourgeois;1942-03-27;1919-01-01;
FAUX;Heinrich E.;Abt;m;AG;CN;;Membre;Parti radical-démocratique suisse;1919-11-01;1911-12-04;
FAUX;Walter;Ackermann;m;AR;CE;Groupe radical-démocratique;Président(e);Parti radical-démocratique suisse;1963-12-01;1935-12-02;
FAUX;Joseph;Ackermann;m;FR;CN;Groupe conservateur-catholique;Membre;Conservateurs;1951-12-02;1947-12-01;
FAUX;Walter;Ackermann;m;AR;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1963-12-01;1935-12-02;
FAUX;Walter;Ackermann;m;AR;CE;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1963-12-01;1935-12-02;
FAUX;Alfred;Ackermann;m;LU;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1970-06-01;1953-09-14;
FAUX;Peter;Acklin;m;AG;CN;;Membre;Conservateurs;1866-12-03;1863-12-08;
FAUX;Jakob Josef;Adam;m;BL;CN;Gauche;Membre;Parti radical-démocratique suisse;1868-06-02;1863-12-08;
FAUX;Jules-Henri;Addor;m;VD;CN;Groupe radical-démocratique;Membre;Parti radical-démocratique suisse;1947-11-30;1943-12-06;
